,,,,,,"Age-specific fertility rates (births per 1,000 women)",,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,Period,15-19,20-24,25-29,30-34,35-39,40-44,45-49
102,Medium variant,"Less developed regions, excluding China",,948,2095-2100,16.6043,72.0644,122.4709,115.0399,58.3858,12.3581,1.6443
103,Medium variant,High-income countries,e,1503,2015-2020,12.3470,49.9944,97.1786,109.1124,59.9595,13.2683,1.2087
104,Medium variant,High-income countries,e,1503,2020-2025,8.0352,40.5093,98.2704,119.9394,64.7192,13.7232,1.2425
105,Medium variant,High-income countries,e,1503,2025-2030,7.6647,39.9542,98.0726,122.2554,67.1416,14.3293,1.2603
106,Medium variant,High-income countries,e,1503,2030-2035,7.3366,39.4457,98.4300,123.8375,68.7971,14.7449,1.2295
107,Medium variant,High-income countries,e,1503,2035-2040,7.1031,39.0082,98.6672,124.9519,69.7057,15.0175,1.1972
108,Medium variant,High-income countries,e,1503,2040-2045,6.9655,38.8168,99.0027,125.9692,70.1404,15.2751,1.1419
109,Medium variant,High-income countries,e,1503,2045-2050,6.8830,38.7851,99.5117,127.0584,70.4928,15.4405,1.1087
110,Medium variant,High-income countries,e,1503,2050-2055,6.8442,38.8849,100.0313,128.1951,70.8323,15.4983,1.1020
111,Medium variant,High-income countries,e,1503,2055-2060,6.8174,39.0452,100.4795,129.1448,71.0441,15.4724,1.0924
112,Medium variant,High-income countries,e,1503,2060-2065,6.7821,39.1676,100.9690,129.8834,71.2239,15.3778,1.0696
113,Medium variant,High-income countries,e,1503,2065-2070,6.7502,39.2182,101.4173,130.4183,71.3796,15.2961,1.0374
114,Medium variant,High-income countries,e,1503,2070-2075,6.7275,39.2425,101.7516,130.8297,71.4364,15.2595,1.0077
115,Medium variant,High-income countries,e,1503,2075-2080,6.7175,39.2989,102.0790,131.3222,71.5028,15.2611,0.9899
116,Medium variant,High-income countries,e,1503,2080-2085,6.7118,39.3502,102.3207,131.7869,71.5732,15.2576,0.9813
117,Medium variant,High-income countries,e,1503,2085-2090,6.7115,39.4189,102.5360,132.2465,71.6686,15.2351,0.9749
118,Medium variant,High-income countries,e,1503,2090-2095,6.7121,39.4961,102.7573,132.6456,71.7743,15.1910,0.9642
119,Medium variant,High-income countries,e,1503,2095-2100,6.7060,39.5373,102.9459,132.8719,71.8417,15.1445,0.9478
120,Medium variant,Middle-income countries,e,1517,2015-2020,39.7448,145.0753,138.9706,84.7839,42.5272,14.6387,3.3513
121,Medium variant,Middle-income countries,e,1517,2020-2025,35.9312,136.9302,137.0367,88.2081,43.4619,14.7457,3.2102
122,Medium variant,Middle-income countries,e,1517,2025-2030,32.8835,128.9439,135.0240,90.7255,44.5251,14.5685,3.0408
123,Medium variant,Middle-income countries,e,1517,2030-2035,30.5019,120.7347,132.6446,92.5695,45.8281,14.5723,2.7478
124,Medium variant,Middle-income countries,e,1517,2035-2040,28.5901,113.8167,130.2012,94.7205,46.8795,14.4052,2.5924
125,Medium variant,Middle-income countries,e,1517,2040-2045,26.9666,108.3903,128.1138,97.1968,48.1532,14.2164,2.5859
126,Medium variant,Middle-income countries,e,1517,2045-2050,25.4500,103.6011,126.6755,99.2906,49.6325,14.1197,2.5296
127,Medium variant,Middle-income countries,e,1517,2050-2055,23.9427,98.9245,125.3962,100.9824,50.8087,14.0039,2.4004
128,Medium variant,Middle-income countries,e,1517,2055-2060,22.4317,94.1735,124.1131,102.6620,51.6575,13.7303,2.2553
129,Medium variant,Middle-income countries,e,1517,2060-2065,21.0342,89.6401,122.9482,104.5426,52.6426,13.3726,2.1255
130,Medium variant,Middle-income countries,e,1517,2065-2070,19.7733,85.4310,121.8158,106.5522,53.6856,13.0610,2.0140
131,Medium variant,Middle-income countries,e,1517,2070-2075,18.6186,81.6291,120.7753,108.5719,54.7357,12.8026,1.9034
132,Medium variant,Middle-income countries,e,1517,2075-2080,17.5265,78.1441,119.8572,110.4847,55.6971,12.5781,1.7840
133,Medium variant,Middle-income countries,e,1517,2080-2085,16.4637,74.8307,119.0505,112.3199,56.5532,12.3698,1.6605
134,Medium variant,Middle-income countries,e,1517,2085-2090,15.4355,71.5641,118.2187,114.0621,57.3216,12.1839,1.5257
135,Medium variant,Middle-income countries,e,1517,2090-2095,14.4504,68.3298,117.3366,115.7492,58.0044,12.0147,1.3962
136,Medium variant,Middle-income countries,e,1517,2095-2100,13.5464,65.2501,116.4805,117.4329,58.6483,11.8659,1.2801
137,Medium variant,Upper-middle-income countries,e,1502,2015-2020,29.0760,109.5258,115.7678,68.8473,32.9962,10.8104,1.3767
138,Medium variant,Upper-middle-income countries,e,1502,2020-2025,25.9626,97.4043,113.1401,77.1928,37.3790,12.3567,1.2847
139,Medium variant,Upper-middle-income countries,e,1502,2025-2030,23.2706,88.2426,111.1281,83.9196,41.2236,13.5564,1.2011
140,Medium variant,Upper-middle-income countries,e,1502,2030-2035,21.4477,80.8956,109.9954,89.2112,44.6619,14.5341,1.0915
141,Medium variant,Upper-middle-income countries,e,1502,2035-2040,20.3363,75.3593,109.4098,94.0071,47.1071,14.8550,1.0174
142,Medium variant,Upper-middle-income countries,e,1502,2040-2045,19.4692,71.3086,109.0727,98.2945,49.2952,14.9363,0.9821
143,Medium variant,Upper-middle-income countries,e,1502,2045-2050,18.5748,68.2665,108.9360,101.8147,51.2393,15.0646,0.9329
144,Medium variant,Upper-middle-income countries,e,1502,2050-2055,17.5659,65.7452,109.0187,104.8367,52.6886,14.9644,0.8744
145,Medium variant,Upper-middle-income countries,e,1502,2055-2060,16.5220,63.4041,109.2694,107.5639,53.7697,14.4958,0.8138
146,Medium variant,Upper-middle-income countries,e,1502,2060-2065,15.6329,61.3205,109.7432,110.2315,54.7356,13.8002,0.7676
147,Medium variant,Upper-middle-income countries,e,1502,2065-2070,14.9030,59.4436,110.1759,112.7910,55.5602,13.0585,0.7301
148,Medium variant,Upper-middle-income countries,e,1502,2070-2075,14.2950,57.8869,110.6045,115.2910,56.3768,12.4008,0.6953
149,Medium variant,Upper-middle-income countries,e,1502,2075-2080,13.6985,56.4755,110.8890,117.4964,57.1122,11.8473,0.6601
150,Medium variant,Upper-middle-income countries,e,1502,2080-2085,13.0741,55.1000,111.0834,119.4824,57.7341,11.4106,0.6282
151,Medium variant,Upper-middle-income countries,e,1502,2085-2090,12.4308,53.6801,111.1981,121.2956,58.1979,11.0564,0.5966
152,Medium variant,Upper-middle-income countries,e,1502,2090-2095,11.8298,52.2228,111.2314,122.9831,58.5370,10.7608,0.5710
153,Medium variant,Upper-middle-income countries,e,1502,2095-2100,11.3099,50.8262,111.2101,124.5881,58.8201,10.5173,0.5546
154,Medium variant,Lower-middle-income countries,e,1501,2015-2020,46.1100,169.2302,158.2745,99.1360,51.1019,18.5762,5.7488
155,Medium variant,Lower-middle-income countries,e,1501,2020-2025,41.6673,160.7107,153.4160,97.4429,48.9769,16.9094,5.2073
156,Medium variant,Lower-middle-income countries,e,1501,2025-2030,38.4340,152.5014,149.4870,95.4145,47.3059,15.4906,4.7173
157,Medium variant,Lower-middle-income countries,e,1501,2030-2035,35.6233,143.8674,145.8275,94.6124,46.6353,14.6046,4.2665
158,Medium variant,Lower-middle-income countries,e,1501,2035-2040,32.9568,135.6855,142.3392,95.1376,46.7405,14.0924,3.9341
159,Medium variant,Lower-middle-income countries,e,1501,2040-2045,30.6675,128.1020,138.9967,96.5530,47.4825,13.7746,3.7077
160,Medium variant,Lower-middle-income countries,e,1501,2045-2050,28.6794,121.1174,136.1489,97.8417,48.6863,13.5624,3.5150
