,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
82,Medium variant,Dem. People's Republic of Korea,,408,1761.776,1756.753,1702.832,1609.878,1521.320,1474.108,1465.054,1454.272,1417.926,1361.119,1307.278,1270.860,1252.790,1238.064,1213.586,1178.854,1142.398
83,Medium variant,Japan,,392,5139.473,4911.106,4762.742,4680.764,4620.836,4546.909,4446.961,4329.234,4220.332,4145.624,4089.760,4033.315,3973.413,3896.215,3814.685,3743.090,3680.725
84,Medium variant,Mongolia,,496,346.145,316.015,293.722,286.793,295.126,309.540,318.010,309.210,290.649,277.413,274.161,277.392,280.582,277.971,269.707,259.606,253.016
85,Medium variant,Republic of Korea,,410,2263.013,2287.876,2312.844,2207.123,2003.054,1892.196,1888.822,1929.142,1964.292,1957.157,1885.248,1782.901,1721.688,1716.886,1737.744,1749.803,1726.806
86,Medium variant,South-Central Asia,7,921,193060.564,188114.704,182540.241,176628.171,170984.625,166021.353,160960.292,155267.309,149441.284,144186.195,139536.989,135290.187,131100.915,126933.905,122727.134,118887.966,115537.237
87,Medium variant,Central Asia,,5500,7766.332,7209.380,6782.597,6767.138,6985.382,7113.540,6963.997,6635.431,6332.871,6186.087,6143.681,6093.694,5958.432,5756.223,5550.671,5394.332,5291.962
88,Medium variant,Kazakhstan,,398,1836.250,1662.518,1559.151,1575.460,1665.122,1743.529,1743.639,1666.002,1573.941,1529.476,1533.203,1550.523,1545.585,1508.216,1453.550,1405.450,1380.206
89,Medium variant,Kyrgyzstan,,417,728.169,672.717,636.675,642.780,665.565,674.562,660.459,630.040,600.118,582.194,574.403,566.863,552.657,532.070,510.809,493.324,480.665
90,Medium variant,Tajikistan,,762,1257.533,1234.097,1207.631,1235.187,1300.123,1343.248,1330.331,1287.793,1255.179,1248.423,1248.442,1233.674,1195.279,1152.275,1117.010,1094.158,1075.053
91,Medium variant,Turkmenistan,,795,695.311,645.599,604.599,602.196,626.989,641.563,626.795,592.109,562.101,548.535,546.229,543.084,530.273,509.670,489.521,475.828,468.675
92,Medium variant,Uzbekistan,,860,3249.069,2994.449,2774.541,2711.515,2727.583,2710.638,2602.773,2459.487,2341.532,2277.459,2241.404,2199.550,2134.638,2053.992,1979.781,1925.572,1887.363
93,Medium variant,Southern Asia,,5501,185294.232,180905.324,175757.644,169861.033,163999.243,158907.813,153996.295,148631.878,143108.413,138000.108,133393.308,129196.493,125142.483,121177.682,117176.463,113493.634,110245.275
94,Medium variant,Afghanistan,,4,5789.812,5832.807,5866.669,5847.718,5757.212,5594.638,5389.950,5189.174,4998.981,4808.560,4625.086,4438.594,4257.159,4093.431,3947.863,3809.247,3678.693
95,Medium variant,Bangladesh,,50,15285.983,14577.596,13779.208,12954.598,12214.484,11632.710,11111.075,10619.542,10163.977,9740.480,9367.697,9023.552,8712.163,8427.457,8155.664,7905.319,7673.409
96,Medium variant,Bhutan,,64,72.247,68.647,64.026,59.787,56.827,55.021,53.640,51.958,49.885,47.791,46.129,44.979,44.071,43.091,41.902,40.652,39.565
97,Medium variant,India,,356,126120.242,123965.853,121036.174,116355.235,110903.781,106455.963,103135.824,99962.190,96470.749,92889.143,89436.386,86380.451,83718.891,81299.194,78792.046,76328.298,74069.471
98,Medium variant,Iran (Islamic Republic of),,364,6334.461,5299.353,4532.646,4362.995,4593.800,4783.428,4620.053,4206.058,3821.568,3655.068,3684.678,3749.798,3696.643,3516.569,3304.329,3169.790,3133.781
99,Medium variant,Maldives,,462,37.907,33.495,28.759,26.612,27.331,28.817,28.784,26.945,24.735,23.460,23.433,23.832,23.758,22.903,21.729,20.865,20.546
100,Medium variant,Nepal,,524,2871.954,2804.240,2653.904,2437.972,2247.161,2122.530,2023.872,1926.418,1820.660,1715.848,1622.973,1544.244,1478.598,1416.957,1355.872,1295.889,1240.112
101,Medium variant,Pakistan,,586,27225.529,26876.665,26411.072,26454.882,26873.475,26987.896,26483.240,25584.045,24748.876,24147.319,23646.482,23097.374,22374.982,21576.814,20817.009,20211.622,19701.052
102,Medium variant,Sri Lanka,,144,1556.097,1446.668,1385.186,1361.234,1325.172,1246.810,1149.857,1065.548,1008.982,972.439,940.444,893.669,836.218,781.266,740.049,711.952,688.646
103,Medium variant,South-Eastern Asia,,920,58295.726,57235.158,55853.691,54607.072,53622.324,52690.529,51622.684,50347.238,48955.495,47623.557,46455.427,45387.187,44355.092,43298.035,42203.499,41140.782,40160.250
104,Medium variant,Brunei Darussalam,,96,33.133,31.904,30.494,29.242,28.340,28.013,27.845,27.254,26.403,25.541,24.923,24.542,24.276,23.880,23.348,22.766,22.258
