,,,,,"Number of births, both sexes combined (thousands)",,,,,,,,,,,,
Index,Variant,"Region, subregion, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
133,Estimates,Yemen,,887,1108.765,1226.832,1395.221,1579.393,1728.410,2076.447,2455.247,2929.711,3397.651,3453.294,3645.523,3915.268,4243.524
134,Estimates,EUROPE,,908,60533.411,61724.895,59277.524,54409.094,52131.782,50648.532,50199.588,48804.489,41767.167,37353.757,36921.787,39499.009,39987.335
135,Estimates,Eastern Europe,,923,29818.410,29867.451,25262.726,21521.491,22773.573,24003.635,24575.751,23692.706,17795.664,14316.143,14224.191,16016.794,17083.024
136,Estimates,Belarus,,112,894.367,972.562,905.653,736.940,724.209,743.463,810.327,800.731,613.481,469.936,449.289,511.239,572.183
137,Estimates,Bulgaria,,100,788.966,713.829,672.913,661.967,693.941,699.583,622.824,584.949,453.920,339.439,334.760,363.924,342.416
138,Estimates,Czechia,,203,900.633,747.057,704.919,703.814,864.343,911.836,704.270,655.563,598.500,449.548,468.628,562.064,552.047
139,Estimates,Hungary,,348,1006.121,856.779,660.165,741.780,806.969,896.666,668.721,630.282,606.504,499.783,475.883,477.072,447.403
140,Estimates,Poland,,616,3861.716,3842.911,2973.800,2663.717,2910.775,3285.294,3463.536,3021.673,2612.757,2082.021,1808.351,2013.315,1914.196
141,Estimates,Republic of Moldova,13,498,371.473,410.438,404.985,352.535,367.306,398.241,444.929,452.517,341.628,277.338,212.260,225.792,222.379
142,Estimates,Romania,,642,2153.887,2037.270,1564.038,2144.862,2108.614,2124.716,1854.014,1844.756,1315.764,1158.460,1089.416,1089.408,989.809
143,Estimates,Russian Federation,,643,14411.593,14858.475,13008.976,9604.911,10140.966,10717.181,11760.117,11750.876,8025.209,6564.702,7112.085,8091.178,9313.276
144,Estimates,Slovakia,,703,493.894,474.715,436.776,404.361,448.023,492.034,462.660,424.259,370.251,290.568,261.133,281.190,285.286
